"Airport ID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","Tz database time zone","Type","Source","Change","Percentage","Increase/Decrease"
60,"Fort Simpson Airport","Fort Simpson","Canada","YFS","CYFS",61.76020050048828,-121.23699951171876,555,"-7","A","America/Edmonton","airport","OurAirports",182.99720001220703,1215.3330230628428,"Increase"
61,"Kingston Norman Rogers Airport","Kingston","Canada","YGK","CYGK",44.22529983520508,-76.5969009399414,305,"-5","A","America/Toronto","airport","OurAirports",120.82220077514648,768.700979588997,"Increase"
62,"La Grande RiviÃ¨re Airport","La Grande Riviere","Canada","YGL","CYGL",53.62530136108398,-77.7042007446289,639,"-5","A","America/Toronto","airport","OurAirports",131.3295021057129,779.4910286876134,"Increase"
63,"GaspÃ© (Michel-Pouliot) Airport","Gaspe","Canada","YGP","CYGP",48.775299072299994,-64.4785995483,112,"-5","A","America/Toronto","airport","OurAirports",113.25389862059998,647.107947388466,"Increase"
64,"Geraldton Greenstone Regional Airport","Geraldton","Canada","YGQ","CYGQ",49.77830123901367,-86.93939971923828,1144,"-5","A","America/Toronto","airport","OurAirports",136.71770095825195,872.1405292667056,"Increase"
65,"ÃŽles-de-la-Madeleine Airport","Iles De La Madeleine","Canada","YGR","CYGR",47.42470169067383,-61.778099060058594,35,"-5","A","America/Toronto","airport","OurAirports",109.20280075073242,620.0836471668413,"Increase"
66,"Hudson Bay Airport","Hudson Bay","Canada","YHB","CYHB",52.8166999817,-102.31099700899999,1175,"-6","N","America/Regina","airport","OurAirports",155.12769699069997,1026.0470656874993,"Increase"
67,"Dryden Regional Airport","Dryden","Canada","YHD","CYHD",49.831699,-92.744202,1354,"-6","A","America/Winnipeg","airport","OurAirports",142.575901,930.3031687037598,"Increase"
68,"Ulukhaktok Holman Airport","Holman Island","Canada","YHI","CYHI",70.76280212402344,-117.80599975585938,117,"-7","A","America/Edmonton","airport","OurAirports",188.5688018798828,1180.7247987849412,"Increase"
69,"Gjoa Haven Airport","Gjoa Haven","Canada","YHK","CYHK",68.635597229,-95.8497009277,152,"-7","A","America/Edmonton","airport","OurAirports",164.4852981567,960.8935105794932,"Increase"
70,"John C. Munro Hamilton International Airport","Hamilton","Canada","YHM","CYHM",43.173599243199995,-79.93499755859999,780,"-5","A","America/Toronto","airport","OurAirports",123.10859680179999,802.2014542433229,"Increase"
71,"MontrÃ©al / Saint-Hubert Airport","Montreal","Canada","YHU","CYHU",45.5175018311,-73.4169006348,90,"-5","A","America/Toronto","airport","OurAirports",118.9344024659,736.781944178095,"Increase"
72,"Hay River / Merlyn Carter Airport","Hay River","Canada","YHY","CYHY",60.8396987915,-115.782997131,541,"-7","A","America/Edmonton","airport","OurAirports",176.6226959225,1160.73305432045,"Increase"
73,"Halifax / Stanfield International Airport","Halifax","Canada","YHZ","CYHZ",44.880798339799995,-63.508598327600005,477,"-4","A","America/Halifax","airport","OurAirports",108.3893966674,637.5010338249401,"Increase"
74,"Atikokan Municipal Airport","Atikokan","Canada","YIB","CYIB",48.7738990784,-91.6386032104,1408,"-5","A","America/Coral_Harbour","airport","OurAirports",140.4125022888,919.264877243346,"Increase"
75,"Pond Inlet Airport","Pond Inlet","Canada","YIO","CYIO",72.6832962036,-77.9666976929,181,"-5","A","America/Toronto","airport","OurAirports",150.6499938965,781.7396676539018,"Increase"
76,"St Jean Airport","St. Jean","Canada","YJN","CYJN",45.29439926147461,-73.28109741210938,136,"-5","A","America/Toronto","airport","OurAirports",118.57549667358398,735.4288584204102,"Increase"
77,"Stephenville Airport","Stephenville","Canada","YJT","CYJT",48.5442008972168,-58.54999923706055,84,"-3.5","A","America/St_Johns","airport","OurAirports",107.09420013427734,587.7061096442429,"Increase"
78,"Kamloops Airport","Kamloops","Canada","YKA","CYKA",50.702201843299996,-120.444000244,1133,"-8","A","America/Vancouver","airport","OurAirports",171.1462020873,1207.8155205805383,"Increase"
79,"Waterloo Airport","Waterloo","Canada","YKF","CYKF",43.4608001709,-80.3786010742,1055,"-5","A","America/Toronto","airport","OurAirports",123.8394012451,806.6354612987806,"Increase"
80,"Schefferville Airport","Schefferville","Canada","YKL","CYKL",54.80530166625977,-66.8052978515625,1709,"-5","A","America/Toronto","airport","OurAirports",121.61059951782227,670.2719353650623,"Increase"
81,"Kindersley Airport","Kindersley","Canada","YKY","CYKY",51.5175018311,-109.180999756,2277,"-6","N","America/Regina","airport","OurAirports",160.6985015871,1094.9292967471763,"Increase"
82,"Buttonville Municipal Airport","Toronto","Canada","YKZ","CYKZ",43.86220169067383,-79.37000274658203,650,"-5","A","America/Toronto","airport","OurAirports",123.23220443725586,796.5095582163813,"Increase"
83,"Chapleau Airport","Chapleau","Canada","YLD","CYLD",47.81999969482422,-83.3467025756836,1470,"-5","A","America/Toronto","airport","OurAirports",131.1667022705078,836.2099513759823,"Increase"
84,"Meadow Lake Airport","Meadow Lake","Canada","YLJ","CYLJ",54.12530136108398,-108.52300262451172,1576,"-6","N","America/Regina","airport","OurAirports",162.6483039855957,1088.2350590097485,"Increase"
85,"Lloydminster Airport","Lloydminster","Canada","YLL","CYLL",53.30920028686523,-110.072998046875,2193,"-7","A","America/Edmonton","airport","OurAirports",163.38219833374023,1103.794783494392,"Increase"
